nettomiete;nettomiete.qm;wohnflaeche;zimmerzahl;baujahr;bezirk;wohnlage;warmwasser;z.heizung;bad.kacheln;bad.extras;geh.kueche
640,32;7,91;81;3;1972;19;gute;ja;ja;nein;nein;nein
649,35;11,81;55;2;1983;19;beste;ja;ja;ja;nein;nein
699,46;9,2;76;3;1918;5;einfache;ja;ja;nein;nein;nein
479,46;8,56;56;2;1957;5;gute;ja;nein;nein;nein;nein
400,34;9,31;43;1;1984;17;einfache;ja;ja;ja;nein;nein
1151,63;10,97;105;3;1918;5;gute;ja;ja;ja;ja;nein
593,4;8,99;66;3;1966;17;einfache;ja;ja;ja;nein;nein
817,25;8,6;95;3;1918;5;einfache;ja;ja;ja;nein;nein
584,38;9,58;61;2;1960;4;einfache;ja;ja;ja;nein;nein
505,62;8,87;57;3;1966;6;einfache;ja;ja;nein;nein;nein
621,6;8,4;74;3;1984;12;einfache;ja;ja;ja;nein;nein
706,61;7,36;96;3;1971;15;gute;ja;ja;ja;ja;nein
691,92;7,77;89;3;1972;13;gute;ja;ja;ja;ja;nein
566,21;8,99;63;2;1979;15;gute;ja;ja;ja;nein;nein
269,84;4,35;62;2;1918;2;einfache;nein;nein;ja;nein;nein
526,7;4,02;131;5;1924;2;einfache;ja;ja;ja;nein;nein
710,69;10,45;68;2;2000;2;einfache;ja;ja;ja;ja;nein
689,49;8,21;84;3;1983;2;einfache;ja;ja;ja;nein;nein
511,3;10,23;50;2;1968;2;einfache;ja;ja;ja;nein;nein
418,3;5,73;73;4;1960;14;einfache;ja;ja;ja;nein;nein
415,32;6,39;65;3;1966;14;einfache;ja;ja;ja;nein;nein
445,33;7,81;57;2;1918;14;einfache;ja;ja;ja;nein;nein
359,73;4,13;87;3;1924;10;einfache;ja;ja;ja;nein;nein
890;10,23;87;3;1984;9;gute;ja;ja;ja;nein;nein
483,43;8,95;54;2;1992;9;gute;ja;ja;ja;nein;nein
656,51;11,13;59;2;1992;9;gute;ja;ja;ja;nein;nein
695;7,64;91;3;1966;12;einfache;ja;ja;ja;nein;nein
106,22;3,32;32;1;1957;11;einfache;ja;ja;ja;nein;nein
132,24;3,57;37;2;1948;11;einfache;nein;nein;ja;nein;nein
456,44;4,91;93;4;1977;11;einfache;ja;ja;ja;nein;nein
489;6,19;79;3;1948;13;einfache;ja;ja;ja;nein;nein
825,48;8,01;103;4;1982;18;einfache;ja;ja;ja;ja;nein
831,28;9,04;92;3;1966;16;einfache;ja;ja;ja;nein;ja
715,82;10,23;70;3;1960;18;einfache;ja;ja;ja;nein;nein
637,38;8,39;76;3;1989;13;einfache;ja;ja;ja;nein;nein
813,78;11,3;72;3;1992;13;einfache;ja;ja;ja;nein;nein
339,5;3,77;90;3;1973;13;gute;ja;ja;ja;ja;ja
598,23;8,31;72;3;1957;25;einfache;ja;ja;ja;nein;nein
361,97;5,48;66;2;1924;25;einfache;ja;ja;ja;nein;nein
693,57;8,67;80;3;1966;25;einfache;ja;ja;ja;nein;nein
549,98;7,64;72;3;1973;25;einfache;ja;ja;ja;nein;nein
621,79;9,57;65;2;1998,5;24;einfache;ja;ja;ja;nein;ja
352,85;4,97;71;3;1993;24;einfache;ja;ja;ja;nein;nein
969,36;8,89;109;4;1983;21;gute;ja;ja;ja;ja;nein
298,95;5,44;55;2;1997;21;einfache;ja;ja;ja;nein;nein
456,94;7,62;60;2;1997;21;einfache;ja;ja;ja;ja;nein
292,28;8,35;35;2;1966;21;einfache;ja;ja;ja;nein;nein
649,82;6,37;102;4;1974;13;einfache;ja;ja;ja;ja;nein
363,91;11,37;32;1;1918;5;gute;ja;ja;ja;nein;nein
1749,15;14,22;123;4;1918;13;beste;ja;ja;ja;nein;nein
679,01;8,28;82;3;1972;13;einfache;ja;ja;ja;nein;nein
643,64;9,07;71;3;1972;13;einfache;ja;ja;ja;nein;nein
727,96;9,1;80;3;1918;5;einfache;ja;ja;ja;nein;nein
963,84;9,01;107;4;1966;13;beste;ja;ja;ja;nein;nein
338,34;5,21;65;3;1960;19;einfache;ja;ja;ja;nein;nein
718,07;10,26;70;2;1983;19;einfache;ja;ja;ja;nein;nein
892,13;9,39;95;3;1918;2;einfache;ja;ja;ja;ja;nein
1217,15;9,66;126;4;1918;2;einfache;ja;nein;ja;nein;nein
338,15;8,05;42;2;1960;2;einfache;ja;ja;ja;nein;nein
466,43;9,33;50;2;1968;3;einfache;ja;ja;ja;nein;nein
570,1;7,22;79;4;1966;20;einfache;ja;ja;ja;nein;nein
673,47;9,23;73;4;1960;15;gute;ja;ja;ja;nein;nein
562,58;10,23;55;2;1974;9;beste;ja;ja;ja;nein;nein
639,13;3,85;166;6;1918;9;gute;nein;ja;ja;ja;nein
619,94;5,39;115;5;1918;9;gute;ja;ja;nein;nein;nein
426,73;10,94;39;1;1957,5;5;einfache;ja;ja;ja;ja;nein
294,82;4,09;72;3;1918;5;gute;nein;nein;ja;nein;nein
304,23;5,25;58;2;1918;5;gute;ja;nein;nein;ja;nein
587,99;11,76;50;2;2000;8;einfache;ja;ja;ja;nein;nein
308,99;4,48;69;4;1924;8;einfache;ja;ja;ja;nein;nein
516,5;8,33;62;2;1918;8;einfache;ja;ja;ja;nein;nein
998,83;12,18;82;3;1993;15;gute;ja;ja;ja;ja;ja
951,37;10,12;94;2;1988;15;gute;ja;ja;ja;ja;nein
679,38;7,72;88;4;1968;16;einfache;ja;ja;ja;nein;nein
505,67;6,93;73;4;1966;16;einfache;ja;ja;nein;nein;nein
292,61;7,7;38;1;1969;16;einfache;ja;ja;ja;nein;nein
536,87;8,26;65;2;1969;16;einfache;ja;ja;nein;nein;nein
613,55;8,07;76;2;1972;16;einfache;ja;ja;nein;nein;nein
546,5;7,01;78;4;1960;14;einfache;ja;ja;ja;nein;nein
246,48;4,04;61;3;1924;14;einfache;ja;nein;ja;nein;nein
588;11,53;51;2;1924;3;gute;ja;ja;ja;nein;nein
756,34;8,5;89;4;1918;17;einfache;ja;ja;ja;nein;nein
149,62;2,49;60;3;1957;17;einfache;nein;nein;nein;nein;nein
237,75;4,1;58;2;1918;5;gute;nein;nein;ja;nein;nein
261,19;11,36;23;1;1968;17;einfache;ja;ja;ja;nein;nein
476,53;6,19;77;3;1968;16;einfache;ja;ja;nein;nein;nein
379,86;5,35;71;3;1970;23;einfache;ja;ja;ja;nein;nein
181,98;3,87;47;2;1960;10;einfache;nein;nein;nein;nein;nein
907,53;9,36;97;4;1966;10;einfache;ja;ja;ja;nein;nein
767,94;7,31;105;4;1970;10;einfache;ja;ja;ja;nein;nein
740,71;10,58;70;3;1967;24;einfache;ja;ja;ja;nein;ja
678,93;7,63;89;4;1972;23;einfache;ja;ja;nein;nein;nein
705,29;6,41;110;4;1918;9;gute;ja;ja;ja;nein;nein
458,92;9,18;50;2;1960;9;gute;ja;ja;nein;ja;nein
560,76;6,76;83;2;1918;9;gute;ja;ja;ja;nein;nein
559,87;10,37;54;2;1993;13;einfache;ja;ja;ja;nein;nein
690;8,96;77;2;1983;4;gute;ja;ja;ja;nein;nein
920,34;9,49;97;4;1966;4;gute;ja;ja;nein;nein;nein
469,08;7,11;66;3;1966;20;einfache;ja;ja;nein;nein;nein
324,67;7,92;41;2;1969;20;einfache;ja;ja;ja;nein;nein
685,04;7,87;87;3;1966;4;gute;ja;ja;nein;nein;nein
410,74;4,67;88;4;1924;25;einfache;nein;nein;nein;nein;nein
608,43;10,31;59;2;1992;16;einfache;ja;ja;ja;nein;nein
383,48;9,59;40;1;1984;16;einfache;ja;ja;ja;nein;nein
505,23;6,56;77;4;1974;16;einfache;ja;ja;ja;nein;nein
586,11;7,51;78;3;1989;16;einfache;ja;ja;ja;nein;ja
585,03;8,36;70;2;1966;9;gute;ja;ja;nein;nein;nein
605,78;10,44;58;2;1918;9;einfache;ja;ja;ja;nein;nein
536,74;8,13;66;3;1960;9;einfache;ja;ja;ja;nein;nein
690;11,9;58;2;1985;19;einfache;ja;ja;ja;nein;nein
423,43;6,23;68;3;1982;19;gute;ja;ja;ja;nein;ja
352,5;10,37;34;1;1970;19;einfache;ja;ja;ja;nein;nein
387,96;5,97;65;2;1966;19;einfache;ja;ja;nein;nein;nein
428,93;9,32;46;2;1966;19;einfache;ja;ja;ja;nein;nein
277,93;7,94;35;1;1966;16;gute;ja;ja;ja;nein;nein
1150,42;10,46;110;3;1960;1;gute;ja;ja;ja;nein;ja
392,98;5,1;77;3;1970;11;einfache;ja;ja;ja;nein;nein
1038,48;10,82;96;4;1985;12;gute;ja;ja;ja;ja;ja
490,85;12,27;40;2;1972;2;gute;ja;ja;ja;nein;nein
389,77;6,09;64;2;1918;2;gute;ja;ja;ja;nein;nein
618,17;7,82;79;3;1918;2;gute;ja;nein;ja;nein;nein
718,86;8,77;82;3;1998,5;2;einfache;ja;ja;ja;nein;nein
377,08;4,9;77;3;1969;17;einfache;ja;ja;ja;nein;nein
552,21;8,5;65;2;1970;17;einfache;ja;ja;ja;nein;nein
871,77;11,47;76;3;1984;16;einfache;ja;ja;nein;ja;nein
419,27;7,36;57;2;1957;6;einfache;ja;ja;nein;nein;nein
383,47;10,65;36;1;1998,5;6;einfache;ja;ja;ja;nein;nein
635,69;6,84;93;3;1918;6;einfache;ja;ja;nein;nein;nein
527,76;6,07;87;4;1972;7;einfache;ja;ja;nein;nein;nein
647,81;8,2;79;3;1985;7;einfache;ja;ja;ja;nein;nein
345,72;9,1;38;1;1966;7;einfache;ja;ja;ja;nein;nein
680,36;6,74;101;4;1972;10;einfache;ja;ja;ja;nein;nein
517,59;9,77;53;3;1966;10;einfache;ja;ja;ja;nein;nein
414,65;5,76;72;3;1969;22;einfache;ja;ja;ja;nein;nein
722,92;8,82;82;3;2000;21;gute;ja;ja;ja;nein;nein
524,14;9,53;55;2;1971;22;einfache;ja;ja;ja;nein;nein
410,97;10,27;40;1;1972;13;einfache;ja;ja;ja;nein;nein
175,81;2,88;61;2;1918;25;einfache;ja;nein;nein;nein;nein
1113,78;7,96;140;5;1966;14;einfache;ja;ja;ja;nein;nein
314,74;5,33;59;2;1948;14;einfache;ja;ja;nein;nein;nein
551,55;9,68;57;2;1967;13;einfache;ja;ja;nein;nein;nein
773,69;11,05;70;2;1918;12;gute;ja;ja;ja;nein;nein
487,61;12,19;40;1;1966;4;gute;ja;ja;ja;nein;nein
762,35;11,21;68;3;1918;3;gute;ja;ja;ja;nein;ja
486,4;9,73;50;2;1960;4;gute;ja;ja;ja;nein;nein
400;11,76;34;1;1983;4;gute;ja;ja;ja;nein;nein
1119,75;10,98;102;3;1918;4;gute;ja;ja;nein;nein;nein
538,07;10,55;51;2;1918;3;gute;ja;nein;ja;nein;nein
1153,77;9,61;120;4;1972;4;einfache;ja;ja;ja;ja;nein
300,42;11,13;27;1;1972;12;gute;ja;ja;nein;nein;nein
564,01;5,76;98;3;1918;8;einfache;ja;ja;nein;nein;nein
637,03;7;91;3;1987;2;einfache;ja;ja;ja;nein;nein
562,43;8,39;67;3;1957;12;gute;ja;ja;ja;nein;nein
496,15;7,63;65;2;1918;3;gute;ja;ja;nein;nein;nein
261,98;4,85;54;2;1957;3;gute;nein;nein;nein;nein;nein
926,93;10,19;91;4;1960;5;einfache;ja;ja;nein;nein;nein
393,2;5,96;66;3;1966;19;einfache;ja;ja;ja;nein;nein
565,09;6,65;85;4;1971;19;einfache;ja;ja;ja;ja;nein
613,56;8,29;74;3;1974;20;einfache;ja;ja;ja;nein;nein
592,96;11,19;53;2;1996;7;gute;ja;ja;ja;nein;nein
458,82;5,66;81;3;1972;6;einfache;ja;ja;ja;nein;nein
279,35;7,98;35;1;1967;7;einfache;ja;ja;ja;nein;nein
800;10;80;4;1988;23;einfache;ja;ja;ja;ja;nein
563,96;7,42;76;3;1978;19;einfache;ja;ja;ja;nein;nein
389,77;10,26;38;1;1968;19;einfache;ja;ja;ja;nein;nein
1288,48;8,83;146;1;1973;19;gute;ja;ja;ja;nein;nein
488,55;7,88;62;3;1957;18;einfache;ja;ja;ja;nein;nein
766,95;8,52;90;3;1979;18;einfache;ja;ja;ja;nein;nein
921,23;9,21;100;3;2000;9;einfache;ja;ja;ja;ja;nein
373,25;10,66;35;1;1966;9;gute;ja;ja;ja;nein;nein
331,87;9,76;34;1;1957;9;beste;ja;ja;ja;nein;nein
344,06;11,47;30;1;1971;18;gute;ja;ja;ja;nein;nein
529,56;8,41;63;2;1957;18;einfache;ja;ja;ja;nein;nein
617,65;13,43;46;2;1957;18;einfache;ja;ja;ja;nein;nein
239,07;3,68;65;3;1918;7;einfache;nein;nein;ja;nein;nein
424,71;7,87;54;3;1973;7;einfache;ja;ja;nein;nein;nein
377,2;6,08;62;3;1960;7;einfache;ja;ja;ja;nein;nein
591,44;9,7;61;2;1966;25;einfache;ja;ja;ja;nein;nein
521,52;11,34;46;2;1918;3;gute;ja;ja;ja;nein;nein
627,66;8,84;71;2;1957;3;gute;ja;ja;ja;nein;nein
426,91;8,54;50;2;1957;3;gute;ja;ja;ja;nein;nein
695,45;9,8;71;3;1966;1;gute;ja;ja;ja;nein;nein
184,11;4;46;1;1918;16;einfache;ja;ja;nein;nein;nein
661,31;7,6;87;3;1948;16;gute;ja;ja;ja;ja;nein
869,21;9,45;92;3;1918;5;einfache;ja;ja;ja;nein;nein
304,22;6,08;50;2;1918;5;gute;ja;nein;nein;nein;nein
997;9,68;103;3;1948;5;gute;ja;ja;ja;nein;nein
458,11;8,33;55;2;1971;15;einfache;ja;ja;ja;nein;nein
163,17;2,91;56;2;1918;21;einfache;nein;nein;ja;nein;nein
640;9,41;68;3;1971;21;gute;ja;ja;ja;nein;nein
485,74;11,3;43;2;1967;12;gute;ja;ja;ja;nein;nein
559,76;6,83;82;4;1918;12;gute;nein;nein;ja;nein;nein
505,08;7,77;65;2;1991;21;einfache;ja;ja;ja;nein;nein
603,34;9,28;65;3;1970;21;einfache;ja;ja;ja;nein;ja
673,87;8,98;75;3;1981;21;einfache;ja;ja;ja;nein;nein
594,4;5,66;105;5;1970;7;einfache;ja;ja;ja;ja;nein
554,73;7,3;76;4;1975;7;gute;ja;ja;ja;nein;nein
768,15;8,44;91;4;1981;25;einfache;ja;ja;ja;nein;ja
664,69;15,83;42;2;1957,5;9;gute;ja;ja;ja;nein;nein
764,5;9,56;80;4;2000;19;einfache;ja;ja;ja;ja;nein
257,3;4,95;52;2;1987;8;einfache;ja;ja;ja;nein;nein
1022,6;12,78;80;3;1918;2;gute;ja;ja;ja;nein;nein
1195,52;8,86;135;5;1995;2;gute;ja;ja;ja;nein;nein
890,59;10,86;82;3;1918;2;gute;ja;ja;ja;nein;nein
327,23;9,62;34;1;1918;2;einfache;ja;ja;ja;nein;nein
392,05;12,25;32;1;1966;2;gute;ja;ja;ja;nein;nein
544,93;8,79;62;2;1974;11;einfache;ja;ja;ja;nein;ja
583,75;5,17;113;4;1918;12;gute;ja;ja;ja;nein;nein
501,08;6,86;73;3;1957;6;gute;ja;ja;nein;nein;nein
676,33;7,77;87;3;1993;16;einfache;ja;ja;ja;nein;nein
658,42;7,75;85;4;1960;6;einfache;ja;ja;ja;nein;nein
747,22;10,24;73;4;1998,5;6;einfache;ja;ja;ja;nein;ja
450,97;13,67;33;1;1973;7;einfache;ja;ja;ja;nein;nein
848,76;9,43;90;4;1918;4;gute;ja;ja;ja;nein;nein
203,75;4,74;43;2;1957;12;gute;ja;nein;ja;nein;nein
1094,18;12,16;90;3;1990;12;einfache;ja;ja;ja;nein;nein
521,52;7,9;66;3;1969;25;einfache;ja;ja;ja;ja;nein
592,84;11,86;50;2;1985;11;einfache;ja;ja;ja;nein;nein
271,11;5,53;49;3;1960;11;einfache;ja;ja;ja;nein;nein
855,03;11,71;73;3;1972;4;gute;ja;ja;ja;ja;nein
272,96;4,14;66;3;1966;11;einfache;ja;ja;nein;nein;nein
602,69;8,86;68;3;1980;4;einfache;ja;ja;ja;nein;nein
700,47;10,01;70;2;1998,5;25;gute;ja;ja;ja;nein;nein
486,06;5,86;83;4;1966;13;einfache;ja;ja;ja;nein;nein
777,19;8,18;95;3;1966;13;einfache;ja;ja;ja;nein;ja
603,33;8,62;70;3;1967;13;einfache;ja;ja;ja;nein;nein
448,42;6,06;74;3;1995;16;einfache;ja;ja;ja;nein;nein
509,28;7,07;72;3;1973;16;einfache;ja;ja;ja;nein;nein
789,96;10,68;74;2;1983;16;gute;ja;ja;ja;ja;nein
390,26;6,5;60;2;1988;16;einfache;ja;ja;ja;nein;nein
956,13;9,11;105;4;1966;18;einfache;ja;ja;ja;nein;nein
769,76;12,22;63;3;1966;11;einfache;ja;ja;ja;nein;nein
753,29;10,92;69;3;1983;3;gute;ja;ja;ja;nein;nein
664,69;8,52;78;3;1972;3;gute;ja;ja;ja;nein;nein
923,67;11;84;3;1918;3;gute;ja;ja;ja;nein;nein
556,89;6,79;82;3;1957;3;gute;ja;ja;ja;nein;nein
1236,38;9,89;125;5;1918;5;gute;ja;ja;ja;nein;nein
284,92;4,67;61;2;1924;5;einfache;ja;ja;ja;nein;nein
974,84;9,11;107;3;1918;5;gute;ja;ja;ja;nein;nein
506,18;9,2;55;2;1960;5;gute;ja;ja;ja;nein;nein
882,24;8,91;99;3;1983;5;gute;ja;ja;ja;nein;nein
461,81;5,13;90;4;1948;24;einfache;nein;nein;ja;ja;nein
516,77;4,53;114;5;1969;10;einfache;ja;ja;nein;nein;nein
572,66;11,69;49;2;1966;10;einfache;ja;ja;ja;nein;nein
654,97;8,85;74;3;1987;10;einfache;ja;ja;ja;nein;nein
594,54;10,08;59;2;2000;24;einfache;ja;ja;ja;nein;ja
425,36;9,25;46;2;1972;10;einfache;ja;ja;ja;nein;nein
505,38;9,36;54;2;1918;9;gute;ja;nein;ja;nein;nein
653,44;10,21;64;2;1918;9;gute;ja;ja;ja;nein;nein
814,56;10,18;80;2;1918;9;gute;ja;nein;nein;ja;nein
282,77;5,34;53;2;1918;9;gute;ja;ja;ja;nein;nein
471,66;7,61;62;3;1960;17;einfache;ja;ja;ja;nein;nein
511,44;7,01;73;3;1989;17;einfache;ja;ja;ja;nein;nein
593,11;8,6;69;3;1957;17;einfache;ja;ja;ja;nein;nein
378,37;7,42;51;2;1948;17;einfache;ja;ja;ja;nein;nein
1073,73;10,74;100;5;1977;17;einfache;ja;ja;ja;nein;nein
283,9;11,36;25;1;1948;4;gute;ja;ja;ja;nein;nein
710,94;9,11;78;3;1972;11;einfache;ja;ja;ja;nein;nein
408,89;8,7;47;1;1983;4;einfache;ja;ja;ja;nein;nein
864,1;10,05;86;3;1966;22;einfache;ja;ja;ja;nein;nein
363,35;11,01;33;1;1970;21;einfache;ja;ja;ja;nein;nein
619,69;5,16;120;4;1918;21;einfache;ja;ja;nein;nein;nein
862,57;7,84;110;5;1918;21;einfache;ja;ja;ja;ja;nein
499,23;6,66;75;3;1969;19;einfache;ja;ja;ja;nein;nein
938,61;11,45;82;3;1967;19;beste;ja;ja;ja;ja;ja
611,96;11,13;55;2;1972;2;einfache;ja;ja;ja;nein;nein
826,91;8,27;100;3;1918;8;einfache;ja;ja;nein;nein;nein
442,9;7,38;60;2;1966;10;einfache;ja;ja;ja;nein;nein
877;11,39;77;3;1971;9;gute;ja;ja;nein;nein;nein
238,62;2,43;98;3;1918;9;einfache;ja;nein;ja;nein;nein
983,17;9,36;105;4;1948;9;gute;ja;ja;ja;ja;ja
107,74;2,63;41;1;1939;9;einfache;ja;ja;nein;nein;nein
819,13;9,1;90;3;1985;9;gute;ja;ja;ja;ja;nein
417,47;5,09;82;4;1960;9;einfache;ja;ja;nein;nein;nein
1095,49;10,95;100;3;1978;4;einfache;ja;ja;ja;nein;ja
735,52;10,98;67;2;1918;3;gute;ja;ja;ja;nein;ja
710,24;12,46;57;2;1991;15;einfache;ja;ja;ja;ja;nein
632,47;12,16;52;2;1972;6;einfache;ja;ja;ja;nein;nein
870;9,06;96;3;1918;6;einfache;ja;ja;ja;nein;nein
495,84;7,87;63;2;1970;7;einfache;ja;ja;nein;nein;nein
268,36;7,89;34;1;1957,5;6;einfache;ja;nein;ja;nein;nein
637,85;7,78;82;3;1987;8;einfache;ja;ja;ja;nein;nein
894,78;11,47;78;3;1918;5;gute;ja;ja;ja;ja;ja
444,83;11,12;40;2;1918;2;einfache;ja;ja;ja;nein;nein
587,99;9,48;62;2;1918;2;einfache;ja;ja;ja;nein;nein
485,73;9,91;49;2;1918;9;gute;ja;ja;ja;nein;nein
766,95;10,65;72;3;1990;9;gute;ja;ja;ja;nein;nein
720,93;10,45;69;3;1918;9;einfache;ja;ja;ja;nein;nein
652,04;8,47;77;3;1971;9;einfache;ja;ja;ja;nein;nein
536,86;9,76;55;2;1973;9;gute;ja;ja;ja;nein;nein
332,6;8,32;40;2;1972;9;gute;ja;ja;ja;nein;nein
584,6;9,13;64;2;1972;9;einfache;ja;ja;ja;nein;nein
1344,72;10,76;125;6;1993;9;gute;ja;ja;ja;nein;nein
442,46;4,21;105;4;1998,5;16;gute;ja;ja;ja;nein;nein
602,6;10,96;55;2;1989;16;einfache;ja;ja;ja;nein;nein
562,43;11,25;50;2;1987;16;einfache;ja;ja;ja;ja;nein
384;7,11;54;2;1975;14;einfache;ja;ja;ja;nein;nein
334;5,3;63;4;1966;14;einfache;ja;ja;ja;nein;nein
239,44;4,79;50;2;1966;14;einfache;ja;ja;ja;ja;nein
910,11;9,48;96;4;1918;2;gute;ja;ja;ja;ja;nein
541,87;16,93;32;1;1918;1;gute;ja;ja;ja;nein;nein
372,34;4,14;90;3;1924;5;einfache;ja;ja;ja;nein;nein
841,08;9,04;93;3;1918;5;einfache;ja;ja;ja;nein;nein
261,53;5,56;47;1;1948;16;einfache;ja;ja;nein;ja;nein
640,14;8,42;76;2;1981;21;einfache;ja;ja;ja;ja;nein
688,31;10,59;65;2;1983;21;einfache;ja;ja;ja;nein;nein
1789,55;18,26;98;3;1994;21;beste;ja;ja;ja;ja;ja
311,87;5,38;58;3;1960;11;einfache;nein;nein;nein;nein;nein
263,21;4,11;64;2;1939;3;gute;nein;nein;nein;nein;nein
345,23;10,15;34;2;1960;4;einfache;ja;ja;ja;nein;nein
487,89;8,13;60;2;1957;3;gute;ja;ja;ja;nein;nein
479,87;5,85;82;3;1918;4;einfache;ja;ja;ja;nein;nein
1089,39;9,81;111;4;1957;4;gute;ja;ja;ja;nein;nein
484,04;9,68;50;2;1987;3;gute;ja;ja;ja;nein;nein
619,98;11,48;54;2;1980;3;einfache;ja;ja;ja;nein;nein
1216,99;11,59;105;4;1974;18;beste;ja;ja;ja;ja;ja
551,64;5,16;107;5;1918;9;gute;ja;ja;nein;nein;nein
81,28;1,89;43;2;1918;6;einfache;ja;nein;ja;nein;nein
344,24;2,87;120;3;1918;9;gute;ja;ja;ja;nein;nein
674,26;7,66;88;4;1983;25;einfache;ja;ja;ja;ja;nein
170,04;2,5;68;3;1918;9;gute;nein;nein;ja;nein;nein
591,56;7,99;74;3;1966;25;einfache;ja;ja;ja;nein;nein
171,61;5,05;34;1;1966;9;gute;ja;ja;ja;nein;nein
840,22;9,03;93;4;1957;2;einfache;ja;ja;ja;nein;nein
